body,label
$aapl was $orcl in 1999... phones are just appliances that is what compaq and dell bulls did not realize in 2000.,1
"The tech sector grew 0.2% this quarter.Without Apple, the tech sector contracted 6% this quarter.#apple $aapl",-1
$AAPL may get some action powerhour.....,1
"3/ No 2018 capital raise.  Rather than tweeting 420, Musk should have been raising capital based on $tsla third quarter results.  The money was there to be had and Tesla needed it.  $5 billion at least could have been raised with little dilution effect",1
"Tech breakthroughs take a backseat in upcoming Apple iPhone launch#AppleInc, $NASDAQ, $AAPL, #iPhone,...",-1
Better integration into $googl with search. But nice $crm for customer service and CRM software,-1
$TSLA fear pre ER returns tomorrow. Followed by euphoria post ER... maybe. Eventual bankruptcy but that’s too far ahead.,1
"This has to mark the top, right? All downhill from here. $TSLA $TSLAQ",0
$googl 1275,1
Wonder if Michael Knight had to pay $10/month to talk to Kitt in Knight Rider.  $AAPL #AppleWatchSeries3,1
Sold half $VIX calls. Kept half. Still short $TSLA. Sold a ton of $SPY and $QQQ puts. Covered some of /NQ shorts.. Raising more cash but still prepared for all out chaos.. Cash.. Gold... Shorts at this point with caution... Is king for now... All have a great day.,1
"And for the love of all things holy, don’t forget about $GM $FCAU #Taxpayer #Bailout from 2008.At almost $50B, #Congress gave Detroit enough money to buy $TSLA at their present-day market cap.So, I don’t wanna’ hear this red herring bullshit about subsidy-survival of Tesla.",1
"$QCOM cc - ""With this new agreement, we have re-opened the door beyond the modem for $AAPL; A lot of tension removed from the system as a result of this agreement. ASP's as we move to 5G, tend to be good for us. All developed economies will have 5G launch in 2019.""",-1
"How much do #ford $GM #Toyota & the rest spend ""Maintaining"" unsold inventory? So is this a #feature or a #benefit --- for the competition that is#Tesla #teslamodel3 $TSLA $TSLAQ",1
"“ $TSLA is no more financially troubled then Berkshire Hathaway, Tencent, Google or Apple...to be financially troubled it would mean you can't raise $.”",0
I have a degree in forensic mathematical accounting. It allows me to sniff out bullshit anywhere you know. $tsla,-1
$AMZN a miss on the butterfly here too.,0
Anyone got an update on the $GOOG - $GOOGL settlement payment?,0
Apple: On a relative basis (VS SP500) near Daily Resistance Trendline on Apple    $AAPL #Trading #investing #aapl,0
It's been my mission since day 1@Smack_Check @TroyTeslike @28delayslater And of course bae @BullTesla $tsla $tslaq,0
"Cars don't kill people, people kill people.Isn't that right @karpathy ?$TSLA $TSLAQ",-1
$TSLA - Do the Chinese know that he was fined $20 million for securities fraud and called someone a Pedo 3 times on Twitter?,-1
Don’t understand why the Saudis wouldn’t just wait to take $TSLA private until after the stock gets cut in half and on the verge of BK,0
Microsoft developing an AI processor $MSFT $AAPL $GOOG,0
$QCOM sues $AAPL over 6 patents. Downside cometh ,-1
"If an investor bought shares of $tsla the day following IPO and lent them out until now, they would have realized ~135% in lending revenues, making reasonable assumptions about fee and rev split",-1
HAPPY NEW YEAR 2016 #STOCKS #STOCKMARKET #TRADING $VIX $SPX $SPY $AAPL $FB $C $JPM — Penny_Pirate (penny_pirate) …,-1
#Apple :Still into a tiny Daily Uptrend Channel with a Low Volume Trading Environment$AAPL #Trading #investing #markets #stocks,1
$AAPL Revert to mean play yields 26bps. Great job.,1
"Nice work, Doc!$SPY $QQQ $TSLA",1
"Baird's Ben Kallo on $TSLA: ""We believe the delayed ramp has derisked the stock, and incremental production data points should drive shares higher as TSLA works towards its 5k/week target""Is that b/c every m3 off the line is at a negative gross margin?",0
Share similar problems in manufacturing to this scale but solves platform (chassis) issue for Apple. I think it would need to be a take over or mixed management would fail. $tsla $aapl,1
$AAPL LMAO. Wow,0
$UPIN more DD on  Facial Recognition Technology #facialrecognition click on image below.  agreement with Shanghai Weibridge Network Corp.$UPIN $vyst $ftws $ahix $idad $dkgr $frfs $eqlb $dvlp $axxa $celz $fteg $byoc #china #technology #business #growth $fb $tsla,0
The bullish tilt to today’s #trading remained intact as the closing bell rang. #stocks $AAPL $V,1
Volume Alert - MSFT 44.05 Microsoft Corp $MSFT Hit a high today of 44.06 Closing the day 10:30 at 44.05 +0.20,0
Out $AMZN with minor gains...action is blah,1
$AMZN FLY to open store .,1
