body,label
I’ve become convinced the ONLY reason $TSLA didn’t like dealership model is their war on #RightToRepair. The waste of good parts abandoned because of that choice screams #greenwashing to me. After bk - I’m highly confident the new team will enthusiastically embrace it.,1
Buy to Open Symbol: $COST CALLSExp: JULY 28Strike: $160Entry: $1.10/$1.15$AaplInquire for LIVE TRADING ALERTS! #OptionPros,0
@RedDogT3 @JustinPulitzer @ScottWapnerCNBC @GuyAdami $AAPL n $TSO short still working.. more flush to come..,-1
"$MSFT is truly the best fit for $CRM above all others. If the rumor is true, congrats to longs of both.",1
#FastMoneyEspressoFINAL TRADES:Tim Seymour —> buy $APCBrian Kelly —> sell $TSLADan Nathan —> buy $AMDGuy Adami —> buy $RTN,0
car so advanced it crashes itself!!! (undercarrage scraping while using auto summon)$tsla $tslaq @elonmusk,-1
$googl 1275,0
"As a matter of fact, it is Rocket Science.A shout-out to @ElonMusk for keeping the dreams of Space alive for countless millions of people, and for revealing this mindset to untold others, who don’t yet know why.",0
$TSLA chart the past month is a mess. Glad I got out,-1
"$TSLA ... The poster child for ""Things That Would Never Survive in a Real Free-Market Economy and Interest Rate Environment""",-1
And Win10 sucks Its the most unstable OS $MSFT has issued Crashes daily Grrr...,-1
"@FTC pickpocket @facebook $5 Billion is the start of 1 nasty trend of govts using its largest companies as funding source for political gain.. Once a main staple of Democratic gamesmanship, now has become a wholly owned Republican ….$AAPL $GOOG $AMZN $TWTR is ""now on the clock""",0
$TSLA $AAPL $NVDA Could someone please share the upcoming earning release calendar or link which can be printed!,0
"$AAPL $SPY 1) Sadly could happen any day, so ..2) The vote is virtually done. It's 720p in London.",0
"If NHTSA finds Model3 the safest car there is, why is it that certain media reports any minor Tesla accident and fire as if it’s news of the day. Because they want to create the impression that EVs and $TSLA are unsafe.It’s not the twits, it’s the smear campaign.",-1
"$AMZN.com is really a #logistics company. $FDX, despite being better at it, continues to be a '#DumbPipe' rather than also sell #retail products #online and cut out the #MiddleMen. Am I the only one who sees it, or, is the $FDX #management too #comfortable to see the #obvious?",-1
How about that Googmonster????  $GOOG $GOOGL,0
Did $AMZN announce a new CFO? ,0
#Samsung recalls #Galaxy Note 7 phones after #battery #fires | $005930 #smartphones #recall $AAPL #iPhone,0
"At $1Trillion, $AAPL is bigger than these things:",1
Like $TSLA and $TLSAQ...agree to disagree ,0
Apple slips after supplier cuts guidance$AAPL $SWKS $LITE,-1
$yumc  trying hook or its done looking for scalps  $amzn tired,0
Trying to use the @thinkorswim mobile alerts better. Here’s mine that went off today. Trying to use key  price levels more. $AAPL breakout above prior day high. $AGCO break 80 on potential daily breakout. Same for $CRM and $BMY chart potential.,1
$AAPL up $6 on great volume.,1
Typical $tsla trading day low voluand easily manipulated up 92 basis points just because the stock is close to an option strike price )pin) $tslaq,-1
"Depends if you were trading real names or trading vehicles that flipped their float 9,000 times over.Every REAL name I traded $SE $KR $TSLA I lost $$ on todayEvery trading vehicle ie: $RBZ $SEEL $BPTH $ALT $ARQL made money",-1
There are nominally 11 people on Tesla’s board $TSLA,0
Now @SquawkStreet @jimcramer says you're just seeing a simulation...he's actually in line at $TSLA,0
Best Sectors: #Internet and #Tech $GOOGL $AMZN Worst: #Oil $CVX $COP $XOM,0
$20m from him & $20 to $TSLA,0
"Leaders continue to be punished, today $AAPL turn.",-1
This just in Shriff in Nevada can’t investigate crimes! Criminal flop to the unenforced Crime State in the Nation! Lol  $tsla $tslaq,0
$MSFT boy the weekly candle is SICK!!,1
I guess many others agree with me. Up $15 from the open. $GOOGL.,0
"""The demand for Model 3 is incredibly high"", ""extraordinarily"". Constraint: People ""literally do not have the money"" $TSLA",1
High beta tech all broke their 8/21day moving averages last Tuesday and Wednesday. Same when $aapl broke $117ish.  That was out or short,1
$AAPL through 132.50.. Will be looking to peel most of them near 133 if we get there.,0
As an $AMZN owner I laugh at this sell off.,1
Looking for $TSLA panic buying back to 330 again,1
Robin Williams' son and prison inmates are bullish of $AMZN,0
Very tough entries today felt a tad uneasy with open candles so took cash flow $googl $nflx,-1
"1/ $TSLA has been making false statements since at least 2012. In 2016 it became an in-your-face fraud with the Solar City bailout. 3 years later, $TSLA is still the largest US automaker by market cap. $TSLAQ",0
@howardlindzon $AMZN $UPS $DIS all strong on this bull move,1
$AMZN Amazon is great,1
$AMZN has lagged since its earnings energy.. lost some $ in trying to play the upside. but now this can work properly..,0
Nice run now I can afford my  $TSLA,0
"@Jack is doing a good job ramping FCF at $TWTR, but his defense of criminal drug addict Elon Musk, and the lack of a Twitter edit function are inexcusable $TSLA $TSLAQ",-1
"$tsla is literally a car company that makes almost no cars and the ones they do make keep being shitty and needing to be recalled.  It has a $50B market cap, but yea crypto and $btc are the scams.",-1
"$TSLA  ""Elon we don't want to infringe on your 1st amendment rights to tweet, so I decided to remove you as CEO and chairman so you are free to tweet as much as you like""  Judge Nathan",-1
Best bet for $TSLA continues to be a buyout w/ Apple@elonmusk would make some great iPhones as new CEO of AppleHe’d have real cash.W/ out that I still don't think the co if financially viable and goes to 0.,-1
Notice that background dancer?  $aapl ripped them off on their first ipod commercial.  Just saying..,0
@CNBCFastMoney $AAPL-- ALL FAKE RUMOR,-1
stock down $5? musk melting down? /r/teslamotors with some hard hitting pumping to the rescue.$tsla $tslaq,-1
"The arrogance of $TSLA and its longs has come back to bite em in the ass, and it might set in Motion a downward spiral that it has seen before..",-1
"$TSLA continues to underinvest in service capacity relative to its delivery volumes. No wonder we remain in ""service hell""",-1
"$TSLA Wow, this chart looks healthy.",1
$TSLA is the 3rd largest weighting in the ETF (EV demand for lithium batteries) the +134% move from its June low is a big piece of this puzzle,1
3/ Where have we heard this story before? With $tsla cars. Desperate 38% “discount” on solar attracts new customers who don’t realize an unserviced system is worth less than zero. State AGs and FTC have failed to act to stop them from harming consumers.,0
So cheaper than the $8k $TSLA are charging for tier autocrash hardware,0
Autos have revved up since the election $GM $TM $F $TSLA,1
"Faber, thank @AOC  Invite her on your show. Mazel.  $AMZN",1
$AAPL $GOOGL $NFLX $AMZN $SPY on fire,0
"RETWEET IF @elonmusk IS GOING TO BE REMOVED (BY HIMSELF, BOD, OR SEC) FROM HIS EXECUTIVE POSITION AT TESLALIKE IF @elonmusk IS GOING TO GO TO PRISON$tsla $tslaq",-1
"Keep focus on risk management, don’t allow this bull market to get ahead of your risk profile.Stay long w/ appropriate size. When we gap up, take profits, scale, roll, & ride! Add relative strength. Great leaders lately..$AAPL $GOOGL $TSLA $SPX $BABA $GS $MSFT $SHOP $NVDA",1
With the exception of $TSLA earnings day.,0
"Vardmos always making $TSLA fans look strong! Ad hom is his stock in trade! Anything of value, not so much. Meanwhile, vile $TSLAQ bears are about $120 to the upside full of shit at this point.",-1
Stacked Deck:$AAPL #Apps,0
#Amazon Blockbuster Industry Buzz Lifts These Stocks $AMZN $AMC $CNK $MCS $RDI,1
Apple no longer makes hit products... $AAPL #NarrativeViolation,-1
$MSFT #stockmarket #stocks #investing #business #tech,0
"Macy's doesn't have the brand power, margins or raw volume of $AMZN in the eCommerce arena. Futher pain to come.",0
$aapl will hav tough task on its hands next year,-1
Beaty Dt play on $AMZN called and tradedhindsight my ass!,-1
If another tech company reported a similar earnings report as $AAPL did it would be down 25%. Food for thought.,-1
$AMZN filed US USPTO #trademark for:MUSIC,0
Read and watch Cramer's capitulation on #Tesla here.$TSLA #TSLA #CNBC,0
"Stocks with implied volatility below IV index mean; Microsoft $MSFT 17, General Electric $GE 14",0
"Added to my October 125 calls, in lotto 115 weeklies ahead of fed $aapl",1
Yep...that's what Socialists countries do.. Tax everyone to death... And Europe is Broke! $SPX @CNN @FoxNews $GOOG,-1
He’s buying $TSLA and Tilray with a little GLD for a hedge,0
$TSLA 1.5B debt raise? They'll buy themselves another quarter to survive. Think about that.,-1
Alibaba earnings tomorrow morning. $BABA has lagged $AMZN this year. Will that trend continue? US-China trade tension could be a problem.,0
Jim Cramer/Shorts being told to put their ‘reasonableness pants on’ by judge Nathan lmao $TSLA $TSLAQ,0
