id,body,label
0,The next leg lower should ideally take $XLK toward $60 - 58 where 3 waves bounce is expected to take place #Elliottwave $AAPL $NQ_F,0
1,"So @elonmusk it seems like the whole short burn of the century still isn't coming off the ground. Maby you can try Black magic next, although I understand you need a soul to sell or it won't work, so that might also prove to be an obstacle for you $TSLA $TSLAQ",-1
2,"Tesla 1Q19 delivered 63k cars. Model 3 stole shares from S and X. $TSLA down 10+%FY19 guidance reaffirmed: 360k-400k totalMeaning 99k~113k AVG each for the next 3 quarters. Q2 tough, to deliver 67%~83% moreTo hike the demand, Tesla to demo FSD Autopilot on investor day, 4/19",0
3,This looks like a top to me. $AMZN,-1
4,"P.T. Barnum, full circle. $TSLA",0
5,$TSLA - please don't delude yourself into thinking that the #s themselves will move the stock. Market sentiment and momentum will determine the reaction - not a +/- miss/beat on the targets- Or a MATERIAL positive update on future prod'n levels,-1
6,$AAPL Kessel (success rate 51.02 %) | 30.04 % return | Nice when fundamentals pay off Get more information,0
7,No they wouldn't.   See $TSLA and Elon musk for real time example of how fraud is rewarded by a highly paid and very passive board or directors,-1
8,Whoa. Hell hath no fury. Dissecting deceptions. Maybe what he really is saying is:“I want to hide in PRIVATE because it has become harder to lie with impunity in PUBLIC” twitter.com/CNBCFastMoney/…,-1
9,"$Tsla - Judge Nathan has given the green light to tweet whatever he wants , whenever he wants.  It’s like his securities fraud thing never happened!",1
10,OMG Tesla has insane production growth.#Tesla $TSLA,1
11,Great bounce off the H&S target $TSLA,1
12,$AMZN My $TWLO just made an ATH>> woot wootI have posted countless charts and studies on TWLO>>,1
13,Warren Buffet and $BRK.A $BRK.B are finally getting around to buying shares of an Internet company - $AMZN. I hope for Berkshire’s sake it doesn’t take them that long to see the value and growth potential in Bitcoin $BTC,1
14,"Now we know why @tesla paid Buster Bluth $7 million to sit on its boardBuster let the Colorado governor use his private jetThe governor diverted tens of millions of taxpayer dollars into @elonmusk's pocketsIf you dislike this stuff, vote for smaller government twitter.com/TESLAcharts/st…",-1
15,"Yeah, you are right.  Those whiny Tesla SR customers should shut their pie hole about being shafted and misled by Elon.   Who cares about another 6-8 more weeks?   May as well forget the Model 3 and wait 2 years for the Model Y!  They look EXACTLY the same.  $TSLA $TSLAQ",-1
16,Who ready to make some money this is what we’re watching $BA $GLD $NVDA $AAPL $SPY,0
17,"Because journalism died with invention of internet. RIP. @washingtonpost is an advertising arm of $AMZN. Name the paper, I'll name the corp.",-1
18,When you sell your $AMZN calls for 50% but they keep going up for a possible 1000%,1
19,"Last week the economy was fine. This week it's on brink of recession again. Really Wall Street? Just say you wanted stocks lower so you could load up rather than some stupid excuse again. #FAANG, $AAPL, $AMZN, $NFLX, $FB, $TSLA, $NVDA, $BABA, $QQQ, $GOOG",-1
20,executives at $tsla continue to flee. If they believed their options would ever be worth anything they would continue to put up with Musk.,-1
21,$AAPL $AMD $BAC $MSFT $FB $MA $NGL $INTC $BABA $SNAP $MU - Highest volume strikes,0
22,"So how many $TSLA helpers have not downgraded this farse so far today? Baird, Macquarie, Morgan Stanley? Any others $TSLAQ",-1
23,Hmmm... this is the planet that elon should go after and he should rename it Cocainia...$TSLA,0
24,"I bought 98% of our back to school items from $TGT, 2% from $AMZN. Last year it was 50/50. 3 yrs ago it was 10/90. $TGT is doing everything right: products, pricing, the app, drive up service, quick shipping, etc. $AMZN was brutal to navigate school shopping. $TGT was a dream.",1
25,buffet didn't buy $AAPL...his company did...wasn't his idea,0
26,$GOOG missed #socialnetwork bc it was founded on being open - $FB $SNAP #Linkedin created walled garden not in #Google DNA ...,0
27,Apple CFO Luca Maestri continue to sell shares $AAPL,0
28,"Imo $AMZN will hit $2000 again around next ER, potentially $2100. Going to watch for some interesting trade ideas.",1
29,ANOTHER insane Friday where nickel and dime options went to multiple dollars. WOW. $FB $GOOGL $AMZN $NFLX check out @smartertrader room. Wow,1
30,@jimmie_richards Don't care about after hours. Were long $aapl and think the stock is really cheap. We expect a good 6 months ahead #apple,0
